DATE                                      VALUE
1980-12-31                              0.32284
1981-01-01                                    .
1981-01-02                                    .
1981-01-05                             -2.17391
1981-01-06                             -0.32922
1981-01-07                              2.22956
1981-01-08                             -0.24233
1981-01-09                              1.78138
1981-01-12                             -0.95465
1981-01-13                              0.64257
1981-01-14                              0.00000
1981-01-15                              0.71828
1981-01-16                             -0.71315
1981-01-19                              0.87789
1981-01-20                             -1.10759
1981-01-21                              2.16000
1981-01-22                              0.78309
1981-01-23                             -0.23310
1981-01-26                             -1.09034
1981-01-27                              0.23622
1981-01-28                              0.31422
1981-01-29                              0.23493
1981-01-30                             -0.93750
1981-02-02                              1.41956
1981-02-03                              0.93313
1981-02-04                             -0.92450
1981-02-05                              0.69984
1981-02-06                              1.08108
1981-02-09                              0.91673
1981-02-10                              0.45420
1981-02-11                              1.13037
1981-02-12                                    .
1981-02-13                                    .
1981-02-16                                    .
1981-02-17                                    .
1981-02-18                             -0.22506
1981-02-19                             -1.57895
1981-02-20                             -1.45149
1981-02-23                              2.24806
1981-02-24                              0.15163
1981-02-25                              0.60560
1981-02-26                              1.35440
1981-02-27                             -0.29696
1981-03-02                              1.41474
1981-03-03                             -1.39501
1981-03-04                              0.14892
1981-03-05                             -0.14870
1981-03-06                             -1.71258
1981-03-09                             -0.83333
1981-03-10                             -0.07639
1981-03-11                              0.30581
1981-03-12                             -0.68598
1981-03-13                             -1.30468
1981-03-16                             -0.07776
1981-03-17                             -1.32296
1981-03-18                             -0.78864
1981-03-19                              0.71542
1981-03-20                              0.78927
1981-03-23                              2.81911
1981-03-24                              1.29474
1981-03-25                             -0.67669
1981-03-26                              0.98410
1981-03-27                              0.14993
1981-03-30                             -1.04790
1981-03-31                             -0.68079
1981-04-01                              0.07616
1981-04-02                              0.83714
1981-04-03                              1.13208
1981-04-06                              2.53731
1981-04-07                             -2.40175
1981-04-08                              1.49142
1981-04-09                             -1.17561
1981-04-10                              1.04089
1981-04-13                              0.66225
1981-04-14                             -0.73099
1981-04-15                              1.17820
1981-04-16                              0.36390
1981-04-17                                    .
1981-04-20                                    .
1981-04-21                              0.29218
1981-04-22                              0.36417
1981-04-23                              0.14514
1981-04-24                              0.57971
1981-04-27                              0.28818
1981-04-28                              0.07184
1981-04-29                              0.86145
1981-04-30                              0.42705
1981-05-01                             -0.42523
1981-05-04                              2.98932
1981-05-05                              1.52039
1981-05-06                             -0.88496
1981-05-07                             -1.57967
1981-05-08                             -0.69784
1981-05-11                              0.77301
1981-05-12                              0.83682
1981-05-13                              0.20747
1981-05-14                             -1.72533
1981-05-15                             -1.19382
1981-05-18                             -1.91898
1981-05-19                              1.08696
1981-05-20                              0.35842
1981-05-21                              0.35714
1981-05-22                             -1.63701
1981-05-25                                    .
1981-05-26                                    .
1981-05-27                              0.29261
1981-05-28                             -1.09409
1981-05-29                             -0.44248
1981-06-01                             -0.29630
1981-06-02                              0.89153
1981-06-03                             -0.22091
1981-06-04                             -0.29520
1981-06-05                              0.37010
1981-06-08                             -1.47493
1981-06-09                              0.07485
1981-06-10                             -0.44877
1981-06-11                              0.07513
1981-06-12                              0.22523
1981-06-15                             -1.94757
1981-06-16                             -0.07639
1981-06-17                              1.14679
1981-06-18                              2.56992
1981-06-19                             -0.81061
1981-06-22                             -0.14859
1981-06-23                              0.89286
1981-06-24                              0.73746
1981-06-25                              0.29283
1981-06-26                             -0.07299
1981-06-29                             -0.07305
1981-06-30                              1.31579
1981-07-01                              1.29870
1981-07-02                             -0.64103
1981-07-03                                    .
1981-07-06                                    .
1981-07-07                              1.66546
1981-07-08                              0.49858
1981-07-09                              0.07087
1981-07-10                             -1.27479
1981-07-13                              0.35868
1981-07-14                              1.14367
1981-07-15                             -0.56537
1981-07-16                              0.28429
1981-07-17                             -0.14174
1981-07-20                              3.54862
1981-07-21                              0.13708
1981-07-22                              0.13689
1981-07-23                             -0.41012
1981-07-24                             -1.09815
1981-07-27                              0.13879
1981-07-28                              0.69300
1981-07-29                              0.55058
1981-07-30                              0.68446
1981-07-31                             -0.27192
1981-08-03                              1.90866
1981-08-04                              0.00000
1981-08-05                             -0.26756
1981-08-06                             -0.33535
1981-08-07                             -0.20188
1981-08-10                             -1.21376
1981-08-11                             -1.70648
1981-08-12                              1.45833
1981-08-13                              0.27379
1981-08-14                              0.61433
1981-08-17                             -0.20353
1981-08-18                              0.54385
1981-08-19                             -0.13523
1981-08-20                              0.81246
1981-08-21                              0.53727
1981-08-24                              2.33801
1981-08-25                              0.19582
1981-08-26                             -0.26059
1981-08-27                              0.32658
1981-08-28                             -0.71615
1981-08-31                              1.04918
1981-09-01                              0.00000
1981-09-02                             -0.06489
1981-09-03                              0.51948
1981-09-04                              0.19380
1981-09-07                                    .
1981-09-08                                    .
1981-09-09                             -0.38486
1981-09-10                             -1.48100
1981-09-11                             -1.63399
1981-09-14                              0.99668
1981-09-15                             -0.78947
1981-09-16                              0.19894
1981-09-17                             -1.05890
1981-09-18                             -0.26756
1981-09-21                             -0.87190
1981-09-22                              1.69147
1981-09-23                              1.33067
1981-09-24                              0.52528
1981-09-25                              2.41672
1981-09-28                             -0.19133
1981-09-29                              0.70288
1981-09-30                              0.50761
1981-10-01                             -0.56818
1981-10-02                             -2.15873
1981-10-05                             -1.42764
1981-10-06                             -0.32916
1981-10-07                             -0.66050
1981-10-08                             -0.26596
1981-10-09                             -1.80000
1981-10-12                                    .
1981-10-13                                    .
1981-10-14                              0.26972
1981-10-15                              0.06725
1981-10-16                              0.40323
1981-10-19                              0.06693
1981-10-20                              0.93645
1981-10-21                              1.65673
1981-10-22                              0.26076
1981-10-23                             -0.52016
1981-10-26                              1.96078
1981-10-27                             -0.38462
1981-10-28                             -0.64350
1981-10-29                             -2.46114
1981-10-30                             -2.85525
1981-11-02                             -0.41012
1981-11-03                                    .
1981-11-04                                    .
1981-11-05                              0.07052
1981-11-06                             -1.76180
1981-11-09                             -3.94548
1981-11-10                              0.07468
1981-11-11                                    .
1981-11-12                                    .
1981-11-13                             -0.07582
1981-11-16                             -0.83460
1981-11-17                              0.84162
1981-11-18                             -1.36571
1981-11-19                              0.30769
1981-11-20                              0.76687
1981-11-23                              2.28311
1981-11-24                             -2.30655
1981-11-25                             -1.14242
1981-11-26                                    .
1981-11-27                                    .
1981-11-30                              1.62539
1981-12-01                              1.82788
1981-12-02                              0.89753
1981-12-03                             -0.29652
1981-12-04                             -2.23048
1981-12-07                              2.66160
1981-12-08                              0.00000
1981-12-09                              1.03704
1981-12-10                              1.17302
1981-12-11                              0.28986
1981-12-14                             -1.58960
1981-12-15                             -0.51395
1981-12-16                             -0.14760
1981-12-17                              1.33038
1981-12-18                             -1.45879
1981-12-21                              2.36862
1981-12-22                              1.37383
1981-12-23                              0.85592
1981-12-24                             -0.91938
1981-12-25                                    .
1981-12-28                                    .
1981-12-29                              0.78515
1981-12-30                              0.35411
1981-12-31                             -1.34086
1982-01-01                                    .
1982-01-04                                    .
1982-01-05                              1.76180
1982-01-06                              1.03878
1982-01-07                              0.27416
1982-01-08                             -1.02529
1982-01-11                              2.27901
1982-01-12                             -1.28292
1982-01-13                              1.43639
1982-01-14                             -0.87660
1982-01-15                              0.81633
1982-01-18                             -0.47233
1982-01-19                              0.33898
1982-01-20                              0.06757
1982-01-21                             -1.28292
1982-01-22                              0.47880
1982-01-25                             -0.47651
1982-01-26                             -0.54720
1982-01-27                             -0.20633
1982-01-28                             -1.51620
1982-01-29                             -1.04969
1982-02-01                              3.11174
1982-02-02                             -0.75446
1982-02-03                              1.52039
1982-02-04                              0.47651
1982-02-05                             -0.74526
1982-02-08                              1.56997
1982-02-09                              0.47043
1982-02-10                             -0.93645
1982-02-11                             -0.67522
1982-02-12                                    .
1982-02-15                                    .
1982-02-16                                    .
1982-02-17                             -0.20647
1982-02-18                             -1.51724
1982-02-19                             -0.28011
1982-02-22                             -2.59831
1982-02-23                              0.43259
1982-02-24                             -0.43073
1982-02-25                              0.28839
1982-02-26                              0.86269
1982-03-01                             -1.28297
1982-03-02                             -0.79422
1982-03-03                             -0.36390
1982-03-04                             -0.58437
1982-03-05                             -0.14695
1982-03-08                              0.58867
1982-03-09                              0.14631
1982-03-10                              0.29218
